issue_type,severity,model,product_family,field_name,raw_value,source_url,suggested_fix,status
unmapped_field,low,RL208,MicroBrite Direct Bright Field Series,Lead Time,In Stock,https://advancedillumination.com/products/rl208_series_2/,Map only after the field meaning is verified.,open
unmapped_field,low,RL208,MicroBrite Direct Bright Field Series,Light Conditioning,N/A,https://advancedillumination.com/products/rl208_series_2/,Map only after the field meaning is verified.,open
unmapped_field,low,RL322,UltraSeal Ring Light Series,Light Conditioning,Polarizer,https://advancedillumination.com/products/ultraseal-ring-light-series/,Map only after the field meaning is verified.,open
unmapped_field,low,SL164,Compact High Intensity Spot Light,Intensity,"201,000 Lux",https://advancedillumination.com/products/sl164-series-2/,Map only after the field meaning is verified.,open
unmapped_field,low,SL164,Compact High Intensity Spot Light,Lead Time,In Stock,https://advancedillumination.com/products/sl164-series-2/,Map only after the field meaning is verified.,open
unmapped_field,low,SL164,Compact High Intensity Spot Light,Light Conditioning,Diffuser,https://advancedillumination.com/products/sl164-series-2/,Map only after the field meaning is verified.,open
unmapped_field,low,SL246,High Intensity Spot Light,Intensity,110000 Lux,https://advancedillumination.com/products/high-intensity-spot-light-series-2/,Map only after the field meaning is verified.,open
unmapped_field,low,SL246,High Intensity Spot Light,Lead Time,2 Weeks,https://advancedillumination.com/products/high-intensity-spot-light-series-2/,Map only after the field meaning is verified.,open
unmapped_field,low,SL246,High Intensity Spot Light,Light Conditioning,N/A,https://advancedillumination.com/products/high-intensity-spot-light-series-2/,Map only after the field meaning is verified.,open
unmapped_field,low,SL256,High Intensity Pattern Projecting Spot Light,Lead Time,2 Weeks,https://advancedillumination.com/products/sl256/,Map only after the field meaning is verified.,open
unmapped_field,low,SL256,High Intensity Pattern Projecting Spot Light,Light Conditioning,N/A,https://advancedillumination.com/products/sl256/,Map only after the field meaning is verified.,open
unmapped_field,low,SL316,UltraSeal Spot Light,Intensity,150000 Lux,https://advancedillumination.com/products/ultraseal-washdown-spot-light/,Map only after the field meaning is verified.,open
unmapped_field,low,SL316,UltraSeal Spot Light,Lead Time,2 Weeks,https://advancedillumination.com/products/ultraseal-washdown-spot-light/,Map only after the field meaning is verified.,open
unmapped_field,low,SL316,UltraSeal Spot Light,Light Conditioning,Diffuser,https://advancedillumination.com/products/ultraseal-washdown-spot-light/,Map only after the field meaning is verified.,open
